country,date,price
FR,2019-11-25,31.8300
FR,2019-11-22,31.7000
FR,2019-11-21,31.6700
FR,2019-11-20,31.7000
FR,2019-11-19,31.8600
FR,2019-11-18,31.9800
FR,2019-11-15,31.9300
FR,2019-11-14,31.7100
FR,2019-11-13,31.6500
FR,2019-11-12,31.7100
FR,2019-11-11,31.7300
FR,2019-11-08,31.6800
FR,2019-11-07,31.6500
FR,2019-11-06,31.6300
FR,2019-11-05,31.5400
FR,2019-11-04,31.6100
FR,2019-11-01,31.4300
FR,2019-10-31,31.2300
FR,2019-10-30,31.3700
FR,2019-10-29,31.1700
FR,2019-10-28,31.0600
FR,2019-10-25,30.9200
FR,2019-10-24,30.8100
FR,2019-10-23,30.7000
FR,2019-10-22,30.5300
FR,2019-10-21,30.6900
FR,2019-10-18,30.6800
FR,2019-10-17,30.7600
FR,2019-10-16,30.6700
FR,2019-10-15,30.6400
FR,2019-10-14,30.2700
DE,2020-03-06,26.0100
DE,2020-03-05,26.2700
DE,2020-03-04,27.1200
DE,2020-03-03,26.2900
DE,2020-03-02,26.6300
DE,2020-02-28,26.2200
DE,2020-02-27,26.4900
DE,2020-02-26,27.1800
DE,2020-02-25,27.2700
DE,2020-02-24,27.9000
DE,2020-02-21,29.1400
DE,2020-02-20,29.3400
DE,2020-02-19,29.5000
DE,2020-02-18,29.2100
DE,2020-02-14,29.4800
DE,2020-02-13,29.4600
DE,2020-02-12,29.7000
DE,2020-02-11,29.4800
DE,2020-02-10,29.2400
DE,2020-02-07,29.2400
DE,2020-02-06,29.5200
DE,2020-02-05,29.4300
DE,2020-02-04,29.1000
DE,2020-02-03,28.5900
DE,2020-01-31,28.5300
DE,2020-01-30,29.0200
DE,2020-01-29,29.1500
DE,2020-01-28,29.1900
DE,2020-01-27,28.9600
DE,2020-01-24,29.6300
DE,2020-01-23,29.6300
